monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
"Well At Najafgarh, Delhi",3517,28.6102314,76.9832007,"well najafgarh delhi, Delhi, India",True
"Well At Okhla, Delhi",3520,28.5603226,77.2667188,"okhla delhi, Delhi, India",True
"Well At Patel Nagar, Delhi",3525,28.6555118,77.1495558,"patel nagar delhi, Delhi, India",True
"Well At Patpar Ganj, Delhi",3526,28.6213281,77.2068935,"ganj delhi, Delhi, India",True
"Well At Peeragarhi, Delhi",3528,28.6773142,77.0931024,"peeragarhi delhi, Delhi, India",True
"Well At Pilanji, Delhi",3529,28.5790104,77.2009408,"pilanji delhi, Delhi, India",True
"Well At Priya Enclave, Delhi",3530,28.6524677,77.2992538,"priya enclave delhi, Delhi, India",True
"Well At Qutab Garh, Delhi",3531,28.5749779,77.2092203,"garh delhi, Delhi, India",True
"Well At Rajpura Road, Delhi",3533,28.6879568,77.1974016,"rajpura delhi, Delhi, India",True
"Well Near Gurudwara Shri Rakabganj Sahib, Delhi",3534,28.6328172,77.2086299,"sahib delhi, Delhi, India",True
"Well At Rohini, Delhi",3535,28.7313339,77.1158944,"rohini delhi, Delhi, India",True
"Well At Saket, Delhi",3536,28.5221971,77.2150114,"saket delhi, Delhi, India",True
"Well At Shahdara, Delhi",3537,28.660958,77.2957871,"shahdara delhi, Delhi, India",True
"Well At Singhu Border, Delhi",3538,28.6880254,76.9640828,"border delhi, Delhi, India",True
"Well At Singola, Delhi",3539,28.6138954,77.2090057,"delhi, Delhi, India",True
"Well At Sultanpuri, Delhi",3540,28.6996553,77.0662843,"sultanpuri delhi, Delhi, India",True
"Well At Tikri Kalan , Delhi",3541,28.6868849,76.9772082,"tikri kalan delhi, Delhi, India",True
"Well At Tilak Nagar, Delhi",3542,28.8928879,76.6166249,"tilak nagar delhi, Delhi, India",True
"Well At Trilokpuri, Delhi",3543,28.6123474,77.3113827,"trilokpuri delhi, Delhi, India",True
"Well At Ujwah, Delhi",3544,28.6138954,77.2090057,"delhi, Delhi, India",True
"Well At Vasant Kunj, Delhi",3545,28.5444619,77.1574117,"vasant kunj delhi, Delhi, India",True
Well At Vasant Vihar,3546,28.557827,77.1611168,"vasant vihar, Delhi, India",True
"Hanp Pump Near Water Works Of Phed, Delhi- Rohtak Road, Sampla, Dist. Rohtak",4829,28.8928879,76.6166249,"dist. rohtak, Delhi, India",True
"Borewell Of Star Complex Building Near Civil Hospital, Delhi Road, Sonepat",4834,,,,False
3041,1,28.6138954,77.2090057,"3041, Delhi, India",True
3042,2,28.6138954,77.2090057,"3042, Delhi, India",True
3044,3,28.6138954,77.2090057,"3044, Delhi, India",True
3046,4,28.6138954,77.2090057,"3046, Delhi, India",True
"Yamuna At Palla, Wazirabad (Delhi)",30026,28.7297608,77.2212803,"wazirabad delhi, Delhi, India",True
"Lake Near Iit Flyover, Delhi",3476,28.5529246,77.1802541,"iit flyover delhi, Delhi, India",True
Abu Fazal Drain,5268,28.568154,77.3193197,"drain, Delhi, India",True
"Barapula Drain, Delhi",1505,28.568154,77.3193197,"drain delhi, Delhi, India",True
"Civil Mill Drain, Delhi",1502,28.568154,77.3193197,"drain delhi, Delhi, India",True
Contribution Of Out Falls In Old Agra Canal,5274,,,,False
Drain No. 14,5267,28.6138954,77.2090057,"no. 14, Delhi, India",True
Isbt + Mori Gate Drain,5263,28.568154,77.3193197,"drain, Delhi, India",True
Jaitpur Drain,5269,28.568154,77.3193197,"drain, Delhi, India",True
Kailash Nagar Drain,5266,28.6767625,77.05623,"nagar drain, Delhi, India",True
Khyber Pass Drain,5261,28.568154,77.3193197,"drain, Delhi, India",True
Magzine Road Drain,5259,28.568154,77.3193197,"drain, Delhi, India",True
"Maharani Bagh Drain, Delhi",1857,28.568154,77.3193197,"drain delhi, Delhi, India",True
Metcalf House Drain,5262,28.568154,77.3193197,"drain, Delhi, India",True
Molarbandh Drain,5275,28.568154,77.3193197,"drain, Delhi, India",True
Old Agra Canal At Okhla,5271,28.5636616,77.2890546,"okhla, Delhi, India",True
Old Agra Canal Near Kalindi Kunj - Sarita Vihar Pull,5273,,,,False
"Power House Drain, Delhi",1503,28.568154,77.3193197,"drain delhi, Delhi, India",True
"Sarita Vihar, Delhi",1858,28.5349124,77.2911698,"sarita vihar delhi, Delhi, India",True
"Sen Nursing Home Drain, Delhi",1504,28.568154,77.3193197,"drain delhi, Delhi, India",True
"Shahdara Drain, Delhi",1506,28.568154,77.3193197,"drain delhi, Delhi, India",True
Shastri Park Drain,5265,28.568154,77.3193197,"drain, Delhi, India",True
Sonia Vihar Drain,5276,28.568154,77.3193197,"drain, Delhi, India",True
Sweeper Colony Drain,5260,28.568154,77.3193197,"drain, Delhi, India",True
Tonga Stand Drain,5264,28.568154,77.3193197,"drain, Delhi, India",True
Tughlakabad Drain,5270,28.568154,77.3193197,"drain, Delhi, India",True
River Yamuna At Palla (Delhi),30026,28.8468468,77.1869035,"palla delhi, Delhi, India",True
"River Yamuna At Palla, Delhi",1120,28.8468468,77.1869035,"palla delhi, Delhi, India",True
River Yamuna At Wazirabad,5098,28.7024004,77.2773077,"yamuna wazirabad, Delhi, India",True
River Yamuna At Isbt Bridge,5099,28.6712443,77.2311014,"isbt, Delhi, India",True
River Yamuna At Ito Bridge,5100,28.6237457,77.2051915,"yamuna, Delhi, India",True
"River Yamuna At Nizamuddin, Delhi",1121,28.5909417,77.2423341,"nizamuddin delhi, Delhi, India",True
"River Yamuna At Okhla Bridge (Inlet Of Agra Canal), Delhi",1375,28.6138954,77.2090057,"delhi, Delhi, India",True
"Burari Drain B/C With Nazafgarh Drain, Delhi",1501,28.568154,77.3193197,"drain delhi, Delhi, India",True
Old Agra Canal Near Kalindi Kunj -Sarita Vihar Pull,5273,,,,False
