monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
Sone River At Bahiyara,3127,25.5345016,84.7600817,"bahiyara, Bihar, India",True
Sone River At Nasiriganj Dam,3128,,,,False
Bagmati At Muzaffarpur- Sitamarhi Road Bridge,3132,26.5942841,85.500428,"sitamarhi, Bihar, India",True
"Bagmati At Darbanga, Samastipur Road Bridge",3135,25.7747885,85.8672314,"samastipur, Bihar, India",True
Bihar D/S Near Forest Office,2116,25.5852986,85.0441261,"office, Bihar, India",True
Daha At Meerganj,3129,,,,False
Gandak U/S Road Bridge Muzaffarpur (Nh),3124,26.2649007,85.2338941,"gandak muzaffarpur, Bihar, India",True
Gandak Gopalganj Piprakothi Road Bridge (Dumaria Ghat),3125,25.6996142,85.1352099,"ghat, Bihar, India",True
U/S Harbora Before Sugar Mill Near Road Bridge Narkatiganj,3126,,,,False
"Kamala At Jaynagar,",3133,26.5902775,86.1356516,"jaynagar, Bihar, India",True
Koshi At Beerpur,3137,,,,False
U/S Manusmar River At Bakhari Riga,3131,26.6233704,85.3980911,"riga, Bihar, India",True
Poonpun Near Poonpun Rail Bridge,3119,25.8027508,85.0398985,"rail, Bihar, India",True
Poonpun Near Kinzer Road Bridge,3120,,,,False
Ramrekha U/S Harinagar,3130,27.156368,84.3244117,"harinagar, Bihar, India",True
"Sikrahna At Laurea, Harinagar Road Bridge",3134,27.156368,84.3244117,"harinagar, Bihar, India",True
Sirsa D/S Raxaul (Koeria Tola),3136,24.6852952,86.2001413,"tola, Bihar, India",True
Subarnarekha At Rajghat Near Bihar Border,1641,26.4256918,87.5254808,"border, Bihar, India",True
"Bore Well Water Near Commissionary Office, Chapra",1844,25.8021339,84.7481552,"office chapra, Bihar, India",True
"Hand Pump Water At Court Campound, Araria",2577,26.1346459,87.4654062,"araria, Bihar, India",True
"Tube Well Water At Collectriate Campus, Buxar",2579,25.5044834,84.1097525,"buxar, Bihar, India",True
"Hand Pump Water At Kila Gate Near Rambagh Mithila University, Darbhanga",2581,26.1627347,85.8985767,"mithila university darbhanga, Bihar, India",True
"Hand Pump Water At Bus Stand, Gopalganj",2583,26.4211166,84.3739133,"gopalganj, Bihar, India",True
"Tap Water Near Pani Tanki At Jahanabad Court, Jahanabad",2585,25.2385347,85.0219881,"jahanabad, Bihar, India",True
"Hand Pump Water At Bus Stand, Katihar",2586,25.5586421,87.6457196,"katihar, Bihar, India",True
"Hand Pump Water Near Sadar Hospital, Khagaria",2587,25.50877,86.4756484,"sadar hospital khagaria, Bihar, India",True
