monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
Hand Pump At Rampur,2635,31.5091373,77.7709741,"rampur, Himachal Pradesh, India",True
"Gobindsagar Lake At Bilaspur, H.P.",1291,31.1149319,77.101821,"h.p., Himachal Pradesh, India",True
"Pongdam Lake At Pong Village, H.P.",1292,31.1149319,77.101821,"h.p., Himachal Pradesh, India",True
"Renuka Lake , 35 Km From Patna Sahib North , H.P",1429,32.7699626,77.4205888,"north, Himachal Pradesh, India",True
2624,GEN-F1748D,30.8201912,77.2390968,"2624, Himachal Pradesh, India",True
3862,GEN-533FA7,30.8201912,77.2390968,"3862, Himachal Pradesh, India",True
"Satluj River B/C With River Spiti At Khab, Distt.Kinnaur",1867,31.4276016,78.2646884,"distt.kinnaur, Himachal Pradesh, India",True
Satluj At U/S Rampur,1086,31.5091373,77.7709741,"rampur, Himachal Pradesh, India",True
Satluj At D/S Rampur,1087,31.5091373,77.7709741,"rampur, Himachal Pradesh, India",True
Satluj At U/S Tatapani,1013,32.12184,76.7181153,"tatapani, Himachal Pradesh, India",True
Satluj At U/S Slapper,1014,31.4150054,76.8620008,"slapper, Himachal Pradesh, India",True
Satluj At D/S Slapper,1015,31.4150054,76.8620008,"slapper, Himachal Pradesh, India",True
Satluj At D/S Bhakhra,1016,,,,False
Beas At U/S Manali,1006,32.2397708,77.1910992,"beas manali, Himachal Pradesh, India",True
Beas At D/S Manali,2604,32.2397708,77.1910992,"beas manali, Himachal Pradesh, India",True
Beas At D/S Kulu,1007,31.938562,77.1111971,"beas kulu, Himachal Pradesh, India",True
Beas At D/S Aut,1008,31.8090021,77.1883368,"beas aut, Himachal Pradesh, India",True
Beas At U/S Pandon Dam,1009,32.2620161,76.8439684,"pandon, Himachal Pradesh, India",True
Beas At Exit Of Tunnel Dehal Power House,2602,31.4130832,76.8686123,"power house, Himachal Pradesh, India",True
Beas At D/S Mandi,3855,31.8298121,76.7833034,"beas mandi, Himachal Pradesh, India",True
Beas At D/S Jaisinghpur,1693,31.827237,76.4766998,"beas jaisinghpur, Himachal Pradesh, India",True
Beas At D/S Alampur,1694,31.827237,76.4766998,"beas alampur, Himachal Pradesh, India",True
Beas At D/S Dehragopipur,1695,,,,False
Beas At D/S Pong Dam,1010,32.003759,76.0493876,"pong, Himachal Pradesh, India",True
Beas At U/S Kullu,1294,32.2397708,77.1910992,"beas kullu, Himachal Pradesh, India",True
"Beas D/S Nadaun Bridge, Vill Bhadoli",1696,31.1711524,77.6802707,"bhadoli, Himachal Pradesh, India",True
Ravi At U/S Madhopur,1088,32.2360562,75.6260843,"madhopur, Himachal Pradesh, India",True
