stn_code,monitoring_location,latitude,longitude,2016,2017,2018,2019,2020,2021,2022
3572,Lakshmantirtha At Water Supply Intake Point To Hunsur Town,13.1016788,77.5756532,,,,River,,,
3572,River Lakshmantirtha At Water Supply Intake Point To Hunsur Town,13.1016788,77.5756532,,,,,,River,River
3572,Water Supply Intake Point To Hunsur Town,13.1016788,77.5756532,River,,,,,,
3573,Cauvery D/S Of Kushalanagar Town,13.1016788,77.5756532,,,,River,River,,
3573,D/S Of Kushalanagar Town,12.4585525,75.961437,River,,,,,,
3573,River Cauvery D/S Of Kushalanagar Town,13.1016788,77.5756532,,,,,,River,River
3574,River Cauvery At Water Supply Intake Point To Madikeri Town,13.1016788,77.5756532,,,,,,River,
3574,Water Supply Intake Point To Madikeri Town,13.1016788,77.5756532,River,,,,,,
3576,Cauvery At Krs Dam Mandya,12.6368939,76.7275477,,River,,,,,
3576,Cauvery At Water Supply Intake Point To Mysore Pump House,12.9630135,77.7177141,,,,River,,,
3576,River Cauvery At Water Supply Intake Point To Mysore,12.3051828,76.6553609,,,,,,,River
3576,River Cauvery At Water Supply Intake Point To Mysore Pump House,12.967488,77.7143126,,,,,,River,
3576,Water Supply Intake Point To Mysore Pump House,12.9630135,77.7177141,River,,,,,,
3577,Kabini At Water Supply Intake Point To T. Narasipura,13.2702874,77.2346786,,Canal,,,,,
3577,River Kabini At Water Supply Intake Point To T. Narasipura,13.2702874,77.2346786,,,,,,River,River
3577,Water Supply Intake Point To T Narasipura,12.2134628,76.9027763,River,,,,,,
3578,Cauvery At Water Supply Intake Point To Srirangapatna Town,13.1016788,77.5756532,,River,,,,,
3578,Cauvery D/S Of Maddur Water Supply Treatment Plant At Bachalli,12.6720777,75.7562095,,,,River,,,
3578,D/S Of Cauvery Maddur Water Supply Treatment Plant At Bachalli,12.6720777,75.7562095,River,,,,,,
3578,River Cauvery D/S Of Maddur Water Supply Treatment Plant At Bachalli,12.6720777,75.7562095,,,,,,River,River
3579,Cauvery At Water Supply Intake Point At Kollegala Dasanapura,12.7467724,77.7742876,,,,River,,,
3579,Cauvery At Water Supply Intake Point To Mandya Town,13.1016788,77.5756532,,River,,,,,
3579,River Cauvery At Water Supply Intake Point At Kollegala Dasanapura,12.7467724,77.7742876,,,,,,River,River
3579,Water Supply Intake Point At Kollegala Dasanapura,12.7467724,77.7742876,River,,,,,,
3581,Cauvery At Water Supply Intake Point At T K Halli,17.8401056,76.8684901,,,,River,,,
3581,Cauvery D/S Of Kr Nagar Bridge,12.9730088,77.5804711,,River,,,,,
3581,River Cauvery At Water Supply Intake Point At T K Halli,17.8401056,76.8684901,,,,,,River,
3581,River Cauvery At Water Supply Intake Point At Tore Kadana Halli,17.8401056,76.8684901,,,,,,,River
3581,Water Supply Intake Point At T K Halli,14.4451753,75.9186182,River,,,,,,
4087,"River Gangavali River, Nr Bridge, Ankola",14.6453588,74.3319253,,,,,River,,
4088,"River Aghanashini River, Nr Bridge, Kumata",14.4271622,74.4117058,,,,,River,,
4090,River Sharavathi Nr Bridge At Honnavara,14.2810827,74.4446716,,,,,River,,
4093,"M/S Sugureshwara Ind, 196 (P), Kiadb Ind Growth Centre, Chika Sugar, Raichur",16.0547194,76.9003647,,,,Groundwater,,,
4099,"Cauvery River D/S Barachuki Falls, Sathegala, Kollegala",12.170079,77.1462741,,,,River,,,
4099,"River Cauvery D/S Barachuki Falls, Sathegala, Kollegala",12.170079,77.1462741,,,,,,River,
4099,"River Cauvery D/S Bharachuki Falls, Sathegala, Kollegala",12.170079,77.1462741,,,,,,,River
