monitoring_location,stn_code
Beas At U/S Pandoh Dam,1004
River Beas U/S Sujanpur Tihra,4435
River Beas D/S Sujanpur Tihra,4436
River Beas U/S Nadaum Town,4437
River Beas D/S Nadaun Town After Confluence Of Maan Khad,4438
River Beas At Raison,4443
Beas At Talwara (Pong Dam),30083
"Sutlej River B/C With River Spiti At Khab, Distt.Kinnaur",1867
Sutlej At Khab,2611
Sutlej River D/S Tidong Hep,3872
River Sutlej U/S Confluences Of River Tidong,4448
River Sutlej D/S Confluences Of River Tidong,4449
River Sutlej U/S Confluences Of River Baspa,4452
River Sutlej D/S Confluences Of River Baspa,4453
Sutlej River D/S Power House Kashang Hep,3871
Sutlej B/C With Karcham Drain,3870
Sutlej At Neptha Zakhai,1389
Sutlej River D/S Trt Of Rampur Hydel Electric Project,3869
Sutlej At U/S Rampur,1086
Sutlej At D/S Rampur,1087
Sutlej At U/S Tatapani,1013
River Sutlej U/S Iandfill Site Rampur,4446
River Stluj D/S Landfill Site Rampur,4447
Sutlej At U/S Slapper,1014
Sutlej At D/S Slapper,1015
Sutlej At D/S Bhakhra,1016
Sutlej At U/S Khairian Solid Waste Dumping Site Bilaspur,4032
Sutlej At D/S Khairian Solid Waste Dumping Site Bilaspur,4033
River Sutlej U/S Confluence With Ganvi Khand,4450
River Sutlej D/S Confluence With Ganvi Khad,4451
Ravi At D/S At Chamera Iii Hep,2615
"Largi At D/S, Dwada",1090
"Sukhana River At Parwanoo, Distt. Solan",1870
Swan River B/C Of Garni Khad,4030
Swan River A/C Garni Khad,4031
Swan River D/S Of Una At Rampur Bridge,4433
River Tirthan B/C To River Sutlej,4038
River Pabbar U/S Hatkoti,4039
Alhi River-Nog(Near Water Supply Scheme Intake)Tributary Of River Sutlej,4464
"River Ashwani, Kunni Pul, Vill Samahu, Po Kunihar, Tehsil Arki",4036
Ashwani River At Sadhupul (U/S Of Bridge Towards Chail.),4479
Baner Khad U/S Chamunda Temple,4457
Baner Khad D/S Chamunda Temple,4458
