monitoring_location,stn_code
"Sutlej At D/S Kiratpur Sahib,",1814
"Sutlej At 100 Mt. D/S Of Pacl, Nangal, Punjab",2915
"Sutlej At D/S Nfl, Punjab",1380
River Sutlej At Anandpur Sahib,10020
River Sutlej At Bunga Sahib,10021
River Sutlej At Phillaur U/S,10022
River Sutlej At Phagwara U/S (Chaheru Bridge),10023
River Sutlej At Phagwara D/S (Kanganiwal Bridge),10024
River Sutlej At Jalandhar U/S (Peeru Shah Ka Dargah),10025
River Sutlej At Jalandhar D/S (Malsian Bridge),10026
River Sutlej At Ludhiana U/S,10027
River Sutlej At Ludhiana D/S,10028
"Sutlej At 100M U/S Of Headworks, Nangal",1017
"Sutlej At 100M D/S , Nangal",1018
"Sutlej At 1 Km. D/S Of Zenith, Punjab",1293
Sutlej At U/S Head Works Ropar,1019
"Sutlej At U/S Budha Nallah (Upper), Punjab",1690
"Sutlej At Bridge Harike, Amritsar",1022
"Sutlej At Boat Bdg. Dharmkotnakodar Road, Jalandhar",1021
"Sutlej At D/S East Bein, Punjab",1381
"Sutlej At U/S Hussaniwala - H/W Ferozepur, Punjab",1691
"Sutlej At D/S Hussaniwala- H/W Ferozepur, Punjab",1692
Ravi At Madhopur,30085
"Confluence Point Of Sarsa Nadi With With River Sutlej, Nr Vill Aspur, Roopnagar",4161
"Msw Dumping Site, Jamalpur",4135
Stp Jamalpur,4136
"Sagar Para Drain Meeting With Ghaggar Near Vill Sagar Para, Patran",4145
"River Ghaggar At Mubarakpur Rest House (Patiala), Punjab",1023
"River Ghaggar At 100M D/S Conf. With R. Saraswati (Patiala), Punjab",1024
"River Ghaggar Near Bankarpur, Dera Bassi, Punjab",1295
"River Ghaggar At Ratanheri, D/S Of Patiala Nadi (After Confl.), Punjab",1473
"River Ghaggar At D/S Chhatbir, Punjab",1698
"River Ghaggar At U/S Dhakansu Nallah, Punjab",1699
"River Ghaggar At D/S Dhakansu Nallah, Punjab",1700
"River Ghaggar At D/S Jharmal Nadi, Punjab",1701
"River Ghaggar At U/S Jharmal Nadi, Punjab",1702
"River Ghaggar At Moonak, Punjab",1703
"River Ghaggar At D/S Sardulgarh, Punjab",1704
"River Ghaggar At U/S Sardulgarh, Punjab",1705
"River D/S After Mixing With Sagarpara Drain At Vill Rasouli, Patiala",4160
"River Confluence Point Of Sukhana Choe With Ghaggar, Vill Mubarkpur",4162
River Ghaggar At Mubarakpur (Punjab),30015
"River Ghaggar At Tiwana Village ,(Punjab)",30016
River Ghaggar At Sirdulgarh(Punjab),30019
4158,45
20022,8
20023,9
20024,10
Sutlej At Noorpur Bedi Road (Punjab),30010
"Sutlej At D/S Kiratpur Sahib, Punjab",1814
Ravi At Madhopur (Punjab),30085
"River Beas At Talwara H/W, Punjab",1693
"River Beas At U/S Pathankot, Punjab",1694
"River Beas At Mirthal Bridge, Gurdaspur",1010
"River Beas D/S Pathankot, Punjab",1695
"River Beas At 1Km.D/S Of Effl. Dish. Point At Mukerian , Punjab",1294
"River Beas U/S Goindwal, Punjab",1696
"River Beas At Harike, Punjab",1697
River Beas At G.T. Road Under Bdg. Near Kapurthala,1011
River Beas At 100M D/S Indust. Disch. Goindwal,1012
"River Beas River, Nr Vill Kiri Afghana, Tehsil Batala, Gurdaspur",4164
River Sutlej At Noorpur Bedi Road (Punjab),30010
"River Sutlej At D/S Kiratpur Sahib, Punjab",1814
"River Sutlej At 100 Mt. D/S Of Pacl, Nangal, Punjab",2915
"River Sutlej At D/S Nfl, Punjab",1380
"River Sutlej At 100M U/S Of Headworks, Nangal",1017
"River Sutlej At 100M D/S , Nangal",1018
"River Sutlej At 1 Km. D/S Of Zenith, Punjab",1293
River Sutlej At U/S Head Works Ropar,1019
"River Sutlej At U/S Budha Nallah (Upper), Punjab",1690
"River Sutlej At 100M D/S Budha Nala Confl., Ludhiana",1020
"River Sutlej At Bridge Harike, Amritsar",1022
"River Sutlej At Boat Bdg. Dharmkotnakodar Road, Jalandhar",1021
"River Sutlej At D/S East Bein, Punjab",1381
"River Sutlej At U/S Hussaniwala - H/W Ferozepur, Punjab",1691
"River Sutlej At D/S Hussaniwala-H/W Ferozepur, Punjab",1692
"River Ravi At U/S Of Madhopur Headworks, Gurdaspur, Punjab",1097
"River Sirsa At Baddi , ,Ghanoli Village) Punjab",30012
"River Sarsa Nadi Confluence Point Of With Sutlej, Nr Vill Aspur, Roopnagar",4161
"River Swan At Dhangla Village, Santoshgarh (Punjab)",30011
"River Kali Bein Falling Into Beas, Punjab",2913
"Handpump At Park Adjoining To National Industries, E- 128, Ph-Iv, Focal Point Ludhiana",4139
"River Ghaggar Confluence Point Of Sukhana Choe With Ghaggar, Vill Mubarkpur",4162
"Bridge On Tung Dhab Drain, Fatengarh Churian Road, Amritsar",2910
"Point Sourse Budha Nallah, Punjab",2914
"River Beas At D/S Changarwa Village, (Punjab)",30084
River Ravi At Madhopur (Punjab),30085
"River Sarsa At Baddi , ,Ghanoli Village) Punjab",30012
"River Confluence Point Of Sarsa Nadi With With Sutlej,",4161
