monitoring_location,stn_code
"Narmada At Amarkantak From Origin Point, Rewa River Narmada At Dindori,U/S Intake Point,Distt.Dindori(M.P.)",3321
"Narmada At Badwani,",1239
"Narmada At Maheshwar,",1431
"Simrar At Katni Near Acc W/S Intake Point, Jabalpur",3326
"Hiran, Nh -12 Road Bridge Vil Vikrampur ,Dist Narsingpur",3829
Kunda At Khargone,2114
Tapi At Hatnur M.P.,1250
"Wainganga At Balaghat,",1213
"Wainganga At Chindwara,",1214
"Tube Well At Jainabad, Near Tapti Bridge, Pumping Stn. Burhanpur, M.P.",1897
"Well At Kathoda, Jabalpur",2143
"Well At Dosigaon, Ratlam",2148
"Tubewell At Indl Area, Shahdolu/G Water Sample From Industrial Area,Narsarha, Distt. Shahdol(M.P.)",3344
"Tubewell At Indl Area, Anuppur",3345
Hand Pump District Hospital Betul,4630
"Multai Tank Lake At Villa. Khari On Betul-Amravati Road M.P(.Tapti Near Amarawati, Road Bridge At Village Kheda)",1466
"River Tons At M.P-U.P Boundary, Before Mixing Belan Chakghat Rewa",4609
"River Hiran After Mixing Pariyat Near Road Bridge At Vill Ganiyari, Jabalpur",4613
River Dejla Dewda Khargon,4619
"River Ajab Bourali Dam Petlavad, Jhabua",4620
River Hathni At Nanpur Fata Dam Alirajpur,4621
"River Mahanadi Near Road Bridge, Barhi Road Katni.",4623
River Katni D/S Near Mohanghat Katni,4624
Madhya Pradesh,2125
"Sone At Origine Amarkantak, M.P",1610
"Sone At Devload Out Let Of Bansagar Dam,",1612
"Narmada At Near Road Bridge, Sandia",4587
Narmada At U/S Of Village Jait,4588
"River Narmada At Budhnighat, Budhni",4592
Ground Water Near Commercial Auto Mobile,3844
Hand Pump District Hospita Bhopal,4625
Hand Pump District Hospital Hoshangabad,4627
Hand Pump District Hospital Sehore,4626
Hand Pump District Hospital Vidisha,4628
Hand Pump Dstrict Hospital Taisen,4629
"Tubewell At Indl Area, Shahdolu/G Water Sample From Industrial Area,Narsarha,Distt. Shahdol(M.P.)",3344
"Well At Mehatwas, Nagda",2145
"River Betwa Near Intake Point, Vidisha",1614
"River Betwa At Charantirghat, Vidisha",2124
River Betwa D/S After Mixing Of Bais At Vidisha,2125
River Betwa At U/S Near Road Bridge Orchha,3832
"River Betwa At Kanjia Road Bridge, Ashok Nagar (M.P.)",30080
"River Chambal At Tal Village Near Bridge, Ujjain",3309
River Chambal At Nagda U/S (Water Intake Point) M.P.,1365
"River Chambal At Nagda D/S, M.P.",1366
"River Parvati Near Village Bataodapar,",1432
"River Parvati River, Guna",2109
"River Parvati A/C Of Vindhyachal Nalla, Pilukhedi",2126
River Khan At Kabit Khedi (Near Indore) M.P.,1367
"River Khan At Sakkar Khadi, Indore",2110
River Khan At Sanwer,2111
"River Kshipra At Ramghat At Ujjain, M.P.",1369
"River Kshipra At Trivenisangam (1 Km. D/S Of Sangam), M.P.",1370
"River Kshipra At Siddhawat (D/S) Of Ujjain., M.P.",1468
"River Kshipra At Gaughat, Ujjain",3315
"River Kshipra At U/S Of Mahidpur City, Ujjain",3316
"River Kshipra At W/S Intake Point Of Dewas, Ujjain",3317
"River Sone At Churhat,Distt.Sidhi",3329
"River Tons At Chakghat, M.P.",1143
"River Tons At Baseman Mama Temple, Near Purwa Fall, Tehsil-Semariya, Dist- Rewa",3853
"River Bichia, Bridge Govindgarh Road",2117
"River Sankh At Tigra Reservoir, M.P.",1433
"River Sone At Origin Amarkantak, M.P",1610
"River Sone At Chachai, M.P.",1142
"River Sone At Amlai, M.P.",1371
River Sone At Devload Out Let Of Bansagar Dam,1612
"River Sone At Amlai, 100 Metre D/S After Mixing Of Atps Effluent, Rewa",3327
"River Sone At Jarwahi Near Road Bridge, Shahdol",3846
River Sone Deora U/S Rihand (M. P.),30082
"River Sone Near Bhanvarsen Road Bridge After Confluence Of Banas River, Dist Sidhi",3851
"River Sone At Village- Khairpur, Near Road Bridge M.P- U.P. Boundary, Distt Sidhi",4604
River Sone On Kachan Dam Near Imilya North Coal,3836
"River Vaishali At Gohad Dam, Gohad, M.P",1607
"River Kariyari U/S Before Mixing With Waste Water Of M/S J.P. Cement , Rewa",3313
"River Kariyari 100 Mtr. D/S After Mixing With Waste Water Of M/S J.P. Cement, Rewa",3314
"River Newaj At W/S Intake Point, Shujalpur, Ujjain",3319
"River Newaj At U/S Near W/S Intake Point, Rajgarh, Guna",3320
"River Chamla At W/S Intake Point Badnagar, Ujjain",3310
"River Choupan At Vijaypur U/S Nfl Nalla, Guna",3306
"River Choupan At Vijaypur 100 Metre D/S Of Nfl Nalla, Guna",3307
"River Gour Bhoga Door, Jabalpur",2100
"River Jamuni At Bariyaghat U/S Near Intake Point, Tikamgarh",3311
"River Sone At Chitawal Near Road Bridge Chitrangi, Dist Singrouli",3834
River Beehar D/S Near Forest Office,2116
"River Betwa At Nayapur D/S Mandideep Indl. Area No.1, Dist.Raisen",2119
"River Betwa Near Road Bridge, Bhojpur",2121
River Betwa Near W/S Intake Well Point Raisen,2122
"River Betwa At Rajghat Dam, Sagar",3833
"River Kaliasot Near Road Bridge, Mandideep",2120
"River Parvati Near Intake Point Pillukhedi Distt. Rajgarh, M.P",1615
"River Gopad At Nigari, Sarai Dist, Singrouli",3835
"River Johila Near Narojabad Near Umaria Road Bridge, M.P",1611
"River Sindh At Dabra, M.P",1608
"River Kolar Dam Water Supply Intake Well, Distt. Sehore, M.P",1613
"River Chambal At Fish Farm, Gandhisagar",30060
"River Chambal At Gandhi Sagar Dam, Rampura, Mp",1418
"River Chambal At Dholpur, M.P",1609
"River Chambal At Jawnpawa, From Origin Point, Indore",3308
River Chambal At Itawa Road Bridge Bhind,4607
River Chambal At 100M D/S Of Gandhi Sagar Dam. Mandsaur,4610
"River Mahi At Badnawar, M.P.",1233
"River Mahi At Ranisingh Village, Ratlam, Ujjain",3318
River Mahi Forest Guest House Rajapur,4608
River Mahi At Village Bajna (M.P.),30058
River Anas Near Road Bridge Jhabua,3848
River Malei At Jaora,2104
"River Shivna At Ramghat, Mandsaur",2102
River Chillar At Shajapur,2105
"River Jammer At Dholowad, Ratlam",2103
"River Narmada At Amarkantak From Origin Point, Rewa Narmada At Dindori,U/S Intake Point,Distt.Indore",3321
River Narmada Near Source At Amarkantak M.P.,1242
River Narmada At Puskar Dam Amarkantak,4578
River Narmada At Mandla Near Road Bridge. M.P.,1241
River Narmada At Narsinghpur M.P.,1240
River Narmada At Befor Conflu. Of Jamner Vill. Nemawar,4594
River Narmada 500 M.D/S Near Jain Mander Village Nemawar,4595
River Narmada At Mandleshwar,45
"River Narmada At Badwani, M.P.",1239
"River Narmada At Maheshwar, M. P.",1431
River Narmada Near Shahganj,1234
River Narmada At Sethanighat,44
River Narmada At Hoshangabad D S M.P.,1235
River Narmada At D/S Of Omkareshwar M.P.,1430
"River Narmada At Mandla, Near Shamshanghat, Jabalpur",3322
"River Narmada Lalpur, Jabalpur",2099
"River Narmada At Lalpur, Near Water Supply Intake Point, Jabalpur",3323
"River Narmada At Panchwatighat, Before Mixing With Bawanganga River, Jabalpur",3324
"River Narmada At Sarswatighat, After Mixing With Bawanganga River, Jabalpur",3325
River Narmada At D/S Of Kapildhara,2118
River Narmada At Korighat Hoshangabad,2123
River Narmada At Dharampuri,3847
River Narmada At Chandanghat Near Road Bridge,4577
River Narmada At Dindori D/S After Mixing To City Domestic Near Jogotikaria Ghat,4579
River Narmada Near Bhairav Tample At Shhastradhar Mandla,4580
River Narmada Near Road Bridge (D/S Bargi Dam) Jabalpur,4581
"River Narmada At Jamtara, Near Railway Bridge",4582
River Narmada Near Road Bridge Jhansinghat Jabalpur,4583
River Narmada N.H. 44 Near Road Bridge At Barman. Jabalpur,4584
"River Narmada At Barmanghat, 100 Mds Of Mainghat",4585
River Narmada S.N. 44 Neae Road Bridge Near Jhilkoli Narsingpur,4586
"River Narmada At Near Road Bridge, Sandia",4587
"River Narmada At U/S Of Village Jait Near Narayanapura, Dist. Sehore",4588
River Narmada At D/S Of Village Jait,4589
River Narmada U/S Befor Confluence Tawa Near Bandrabhan,4590
River Narmada D/S After Confluence Tawa Ramnagar,4591
River Narmada At D/S Of Textile Unit Village. Holipura Budni,4593
River Narmada At Hanuwantia Dist. Khandwa,4596
River Narmada At U/S Omkarewhwar Dam Khandwa,4597
River Narmada At Dhareshwar,4598
River Narmada Near W/S Intake Jallod,4599
River Narmada At Shahastradhara (Jalkoti),4600
River Narmada At Khalghat,4601
River Narmada At Semalda U/S Of Barwani,4602
River Narmada At Koteshwar,4603
"River Narmada At Kakrana, Interstate Boundry, Alirajpur",4605
"River Chota Tawa Before Confl. With Narmada, M.P.",1236
River Katni Near Nagar Nigam,2101
"River Simrar At Katni Near Acc W/S Intake Point, Jabalpur",3326
"River Hiran, Nh 7 Road Bridge, Sihora, Dist Jabalpur",3828
"River Hiran, Nh -12 Road Bridge Vil Vikrampur ,Dist Narsingpur",3829
River Tapi At Nepa Nagar 100 Metre D/S After Mixing Pandhar Nalla,2115
River Tapi At Nepanagar,9
River Tapi At Burhanpur,10
River Tapi At Hatnur M.P.,1250
"River Denwa Near Sarni, Road Bridge",2127
River Wardha At Bangon Village Near Pandhurna (M.P.),30059
"River Wainganga At Balaghat, M.P.",1213
"River Wainganga At Chhapara, Near W/S Intake Point, Jabalpur",3330
"River Wainganga At Chindwara, M.P.",1214
"River Wainganga At Chhapara, Near Road Bridge After Mixing Moti & Chamariya Nalla, Jabalpur",3331
"River Kanhan At Chindwara Before Mixing Boregaon Growth Centre Nalla, Jabalpur",3312
"Well, Shri Rao Prajapati Well , M. P. (T/W Of Hanif Khan S/O Jabbar Khan, Amrawati Road, Burhanpur )",52
"Tube Well Water - Industrial Area, Govindpura, Bhopal, (M.P)",1616
"Open Well/Tube Well Industrial Area Mandideep, Distt.Raisen, M.P",1617
"Hand Pump, Malanpur Hari Ram Ka Pura (East)",1618
"Hand Pump, Jhirongi, Malanpur Bhind (West)",1619
"Hand Pump Water At Kathonda, Jabalpur",2143
"Hand Pump Water At Madai Gram, Jabalpur",2144
"Tubwell Water At Ibrahimganj Near Bus Stand, Bhopal (M.P.)",2153
"Hand Pump Water At Banskhedi, Bhopal(M.P.)",3333
"Borewell Water At Village Tarpur, Sector-Ii, Pithampur,Industrial Area",3342
"Hand Pump Water At District Hospital, Bhopal (M.P.)",4625
"Hand Pump Water At District Hospital ,Sehore ( M.P.)",4626
"Hand Pump Water At District Hospital ,Vidisha( M.P.)",4628
Hand Pump Dstrict Hospital Raisen,4629
Pariyat Tank Near Wss Intake Point Jabalpur,2129
River Ken Near Road Bridge At Panna,4606
"River Betwa Near Water Supply Intake Well , Vidisha( M.P)",1614
"River Betwa At U/S At Mahuta Ghat, Agasod, Bina",2107
River Betwa D/S After Mixing Of River Bais At Vidisha,2125
"River Betwa At Kanjia Road Bridge, Kanjia Dist.Ashok Nagar (M.P.)",30080
"River Parvati Near Village Bataodapar, M.P.",1432
"River Parvati At Neemkhedi, Guna",2109
"River Parvati D/S After Vindhyachal Nalla At Pilukhedi,Rajgarh",2126
"River Tons At Basaman Mama Temple, Near Purwa Fall, Tehsil- Semariya, Dist- Rewa",3853
"River Bichia,Govindgarh Road Bridge ,Near Intake Point,Rewa",2117
"River Sone At Devload Out Let Of Bansagar Dam, M.P",1612
"River Sone At Bhaturaghat Near Road Bridge, Amlai",3327
"River Tons At Madhavgarh, M.P.",1144
"River Tons At Madhavgarh, Near Phed W/S Intake Point, Satna",3328
"River Mandakini At Chitrakut, M.P.",1372
"River Betwa At Nayapur D/S Mandideep Indl. Area No.1,Dist.Raisen",2119
"Bansagar Canal At Son River, Water Sample At Baghwar Village, Near Tol Plaza, Dist Sidhi",3852
"River Sone Upstream Towards Deora, Dist- Singrauli (M. P.)",30082
"River River Sone At Village- Khairpur,(Kudheri) M.P- U.P.Boundary, Distt Sidhi",4604
River Sone On Kachan Dam Near Imilya North Coal Mines Vill,3836
"River Basli Gohad Dam, Gohad, M.P",1607
"River Kariyari U/S Near M/S Utcl Bela Cement Plant,Vill.Sonara , Rewa,",3313
