stn_code,station_name,mae,rmse,mape,actual_2022,predicted_2022
1199,River Hemavathi At D/S Of Holenarasipura Town At Ramadev Weir,1.208660336796048,1.208660336796048,23.886567920870515,5.06,3.8513396632039516
1200,"River Shimsha At D/S Of Highway Bridge, Yediyur",7.226085801636103,7.226085801636103,13.13833782115655,55.0,47.7739141983639
1386,River Cauvery At D/S Of Karekuara Village,0.6701080091795708,0.6701080091795708,10.65354545595502,6.29,5.619891990820429
1387,River Bhadra At D/S Of Bhadravathi,17.765557021628023,17.765557021628023,178.01159340308638,9.98,27.745557021628024
1444,River Kali At D/S West Coast Paper Mill (Wcpm),3.412804255034567,3.412804255034567,55.4927521143832,6.15,9.562804255034568
1445,River Kabini At Water Intake Of Kiadb At Nanjangud,2.787563802436786,2.787563802436786,41.114510360424575,6.78,3.9924361975632143
1888,River Bhima At Confluence Of Jewargi Town Sewage Disposal Point,34.425265195114115,34.425265195114115,73.77896527028315,46.66,12.23473480488588
1889,River Krishna - Ankali Bridge Along Chikkodi Kagwad Road,0.8254440250664938,0.8254440250664938,10.875415350019683,7.59,8.415444025066494
1892,River Netravathi U/S Of Dharmastala At Water Supply Intake Point,5.765585610865403,5.765585610865403,114.17001209634464,5.05,10.815585610865403
1893,"River Yagachi Near Pumping Station, Hassan City",1.22109439307376,1.22109439307376,19.290590727863506,6.33,7.55109439307376
1894,River Kumaradhara U/S Of Uppinagady Town Before Confluence With Nethravathi,5.1475912680465346,5.1475912680465346,104.83892602946099,4.91,10.057591268046535
1895,River Kagina D/S Of Sewage Disposal Point,31.29824896605193,31.29824896605193,69.73763138603371,44.88,13.581751033948072
1896,River Tungabhadra At Confluence Point Of Tunga And Bhadra At Kudli,2.5433247470307068,2.5433247470307068,44.93506620195595,5.66,3.1166752529692934
2764,River Malaprabha At Badami Bridge,2.929069215941867,2.929069215941867,25.316069282125042,11.57,8.640930784058133
2765,River Bhadra At U/S Of Mpm,3.984626702901916,3.984626702901916,70.6494096259205,5.64,9.624626702901915
2766,River Tungabhadra At New Bridge,3.7636130418214284,3.7636130418214284,60.80150309889222,6.19,9.953613041821429
2767,River Tungabhadra At U/S Of Harihar Polyfibers,2.6771268652210223,2.6771268652210223,38.51981101037442,6.95,9.627126865221022
2768,River Tungabhadra At D/S Of Harihar Polyfibers,0.9324881340522797,0.9324881340522797,6.613391021647375,14.1,13.16751186594772
2769,River Tungabhadra At Jackwell Point,0.7867802304525053,0.7867802304525053,11.45240510120095,6.87,6.083219769547495
2770,River Tungabhadra At Harihar Water Supply Intake,1.5109441757543323,1.5109441757543323,8.22506355881509,18.37,16.85905582424567
2771,River Bhadra At U/S Of Kiocl,0.7416131972962239,0.7416131972962239,20.773478915860615,3.57,2.828386802703776
2772,River Lakshmantirtha At D/S Of Kattemalavadi,0.040446280377096855,0.040446280377096855,0.3096958681247845,13.06,13.100446280377097
2773,River Cauvery At Bannur Bridge,2.5236682246535045,2.5236682246535045,37.387677402274136,6.75,4.2263317753464955
2774,River Cauvery At Ranganathittu,1.9183464055868615,1.9183464055868615,26.387158261167286,7.27,5.351653594413138
2775,"River Kabini At Bathing Ghat, Nanjanagud",4.227929411993438,4.227929411993438,47.3983117936484,8.92,4.692070588006562
2776,River Tungabhadra At D/S Of Gangawathi,16.559204508466664,16.559204508466664,70.37485978948858,23.53,6.9707954915333366
2777,River Kagina At Shahabad Bridge,37.743313824794306,37.743313824794306,80.89008535103795,46.66,8.916686175205692
2780,"River Kali At U/S Of Wcpm, Dandeli",0.3238573461461156,0.3238573461461156,5.752350730836867,5.63,5.9538573461461155
2781,River Krishna At D/S Of Alamatti Dam,2.770599430546172,2.770599430546172,35.84216598377971,7.73,10.500599430546172
3562,River Netravathi At Thumbe Water Supply Stations To Mangalore City,11.896368168865664,11.896368168865664,235.57164690823095,5.05,-6.846368168865663
3563,River Netravathi At U/S Of Uppinangadi Town,3.7193705755680853,3.7193705755680853,51.37252176199013,7.24,10.959370575568085
3564,Borewell Water Near Mangalijyothi School Msw Site Vammanjoor,13.338282424136,13.338282424136,146.2530967558772,9.12,-4.218282424136001
3566,River Cauvery At Krs Dam Mandya,0.9472508664995702,0.9472508664995702,19.021101736939162,4.98,4.03274913350043
3567,River Shimsha D/S Near Madduar Town,5.696040475798409,5.696040475798409,58.96522231675371,9.66,3.963959524201591
3568,River Cauvery At Water Supply Intake Point To Srirangapatna,1.665617909528538,1.665617909528538,20.512535831632242,8.12,6.454382090471461
3569,River Cauvery At Water Supply Intake Point To Mandya Town,1.2998358415380835,1.2998358415380835,16.880984955040045,7.7,6.400164158461917
3570,River Cauvery D/S Of Kr Nagar Bridge,1.6137514549038077,1.6137514549038077,25.453492979555325,6.34,4.726248545096192
3571,River Cauvery U/S Of Kr Nagar,1.093470930547002,1.093470930547002,20.212031987929794,5.41,4.316529069452998
3572,River Lakshmantirtha At Water Supply Intake Point To Hunsur Town,2.2409918247558167,2.2409918247558167,20.372652952325605,11.0,13.240991824755817
3573,River Cauvery D/S Of Kushalanagar Town,1.0812636657441583,1.0812636657441583,26.8303639142471,4.03,2.948736334255842
3575,River Kabini U/S Intake Point To Nanjanagud & Gundlupet At Debur,0.5971697800264044,0.5971697800264044,9.821871382013232,6.08,5.482830219973596
3576,River Cauvery At Water Supply Intake Point To Mysore,2.2820007447570836,2.2820007447570836,40.46100611271425,5.64,3.357999255242916
