stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
3639,Kengeri Tank,Pond/Tank,KARNATAKA,2017,Unsafe,58.18,"pH Out of Range, High BOD, High Total Coliform",,34.7,0.6,6.8,500.0,100.0,6.0,40000.0,278000.0
3640,Uttarahalli Doraikere,Pond/Tank,KARNATAKA,2017,Unsafe,41.86,"pH Out of Range, High BOD, High Total Coliform",,29.25,5.9,7.65,500.0,70.5,3.15,470110.0,1725650.0
3641,Dhorekere,Pond/Tank,KARNATAKA,2017,Unsafe,40.01,"High BOD, High Total Coliform",,29.55,7.4,7.9,500.0,29.0,3.675,165070.0,350545.0
3643,Beenniganahalli Tank,Pond/Tank,KARNATAKA,2017,Unsafe,47.4,"pH Out of Range, High BOD, High Total Coliform",,26.5,4.1,7.15,500.0,28.5,4.0,5000000.0,54503950.0
3648,Mydala,Pond/Tank,KARNATAKA,2017,Unsafe,26.64,"pH Out of Range, High BOD, High Total Coliform",,27.0,6.2,7.65,389.5,4.0,2.39,7135.0,20110.0
3650,Melekote,Pond/Tank,KARNATAKA,2017,Unsafe,48.96,"pH Out of Range, High BOD, High Total Coliform",,27.5,3.6,7.6,500.0,28.5,9.965,55050.0,274950.0
3651,Bheemsandra Tank,Pond/Tank,KARNATAKA,2017,Unsafe,48.66,"pH Out of Range, High BOD, High Total Coliform",,27.5,3.7,7.25,500.0,48.0,10.94,165700.0,355450.0
3653,Doddakere Tank,Pond/Tank,KARNATAKA,2017,Unsafe,25.79,"pH Out of Range, High BOD, High Total Coliform",,28.5,6.1,7.15,442.5,4.0,2.0,5695.0,17795.0
3654,Gottigere Lake,Pond/Tank,KARNATAKA,2017,Unsafe,45.4,"pH Out of Range, High BOD, High Total Coliform",,29.0,4.75,7.15,500.0,30.5,4.135,39605.0,272200.0
3659,Mathana Kere,Pond/Tank,KARNATAKA,2017,Unsafe,22.96,"High BOD, High Total Coliform",,27.0,8.45,8.55,500.0,4.5,0.4,3695.0,13050.0
3660,Hunasina Kere,Pond/Tank,KARNATAKA,2017,Unsafe,24.78,"High BOD, High Total Coliform",,27.5,7.85,8.5,500.0,5.1,0.345,5970.0,18900.0
3661,Kokkanaghattadoddakere,Pond/Tank,KARNATAKA,2017,Unsafe,20.55,High BOD,,26.5,7.3,8.25,500.0,4.0,0.25,685.0,4100.0
3668,Sodharahallikere,Pond/Tank,KARNATAKA,2017,Unsafe,23.96,"pH Out of Range, High BOD",,25.0,5.3,7.8,465.0,3.0,0.15,330.0,2500.0
